str_date,Negative,Neutral,Positive
01-04-2010,2.0,0.0,1.0
01-05-2010,2.0,0.0,1.0
01-06-2010,1.0,0.0,1.0
01-07-2010,0.0,0.0,3.0
01-08-2010,0.0,0.0,3.0
01-11-2010,1.0,1.0,1.0
01-12-2010,0.0,1.0,2.0
01-13-2010,0.0,0.0,3.0
01-14-2010,2.0,0.0,1.0
01-15-2010,1.0,0.0,2.0
01-18-2010,0.0,0.0,3.0
01-19-2010,0.0,0.0,2.0
01-20-2010,1.0,0.0,2.0
01-21-2010,1.0,0.0,2.0
01-22-2010,1.0,0.0,2.0
01-25-2010,2.0,1.0,0.0
01-26-2010,0.0,1.0,2.0
01-27-2010,0.0,0.0,3.0
01-28-2010,1.0,0.0,2.0
01-29-2010,3.0,0.0,0.0
02-01-2010,1.0,0.0,2.0
02-02-2010,2.0,0.0,1.0
02-03-2010,1.0,0.0,2.0
02-04-2010,3.0,0.0,0.0
02-05-2010,0.0,0.0,3.0
02-08-2010,1.0,0.0,2.0
02-09-2010,2.0,0.0,1.0
02-10-2010,2.0,0.0,1.0
02-11-2010,0.0,0.0,3.0
02-12-2010,1.0,0.0,2.0
02-15-2010,0.0,0.0,3.0
02-16-2010,2.0,0.0,1.0
02-17-2010,2.0,0.0,1.0
02-18-2010,1.0,0.0,2.0
02-19-2010,1.0,0.0,2.0
02-22-2010,1.0,1.0,0.0
02-23-2010,1.0,0.0,2.0
02-24-2010,1.0,0.0,2.0
02-25-2010,1.0,0.0,2.0
02-26-2010,0.0,0.0,2.0
03-01-2010,0.0,1.0,2.0
03-02-2010,1.0,0.0,2.0
03-03-2010,1.0,0.0,2.0
03-04-2010,2.0,0.0,1.0
03-05-2010,1.0,0.0,2.0
03-08-2010,0.0,0.0,3.0
03-09-2010,1.0,0.0,2.0
03-10-2010,0.0,1.0,2.0
03-11-2010,0.0,1.0,2.0
03-12-2010,0.0,0.0,3.0
03-15-2010,0.0,0.0,1.0
03-16-2010,2.0,0.0,1.0
03-18-2010,1.0,0.0,2.0
03-19-2010,0.0,0.0,3.0
03-22-2010,1.0,0.0,2.0
03-23-2010,1.0,0.0,2.0
03-24-2010,1.0,0.0,2.0
03-25-2010,0.0,0.0,3.0
03-26-2010,3.0,0.0,0.0
03-29-2010,0.0,0.0,3.0
03-30-2010,0.0,0.0,3.0
03-31-2010,1.0,0.0,2.0
04-01-2010,1.0,0.0,2.0
04-05-2010,1.0,0.0,2.0
04-06-2010,2.0,0.0,1.0
04-07-2010,1.0,0.0,2.0
04-08-2010,0.0,0.0,3.0
04-09-2010,2.0,0.0,1.0
04-12-2010,1.0,0.0,2.0
04-13-2010,1.0,0.0,2.0
04-14-2010,0.0,0.0,3.0
04-15-2010,0.0,0.0,3.0
04-16-2010,0.0,0.0,3.0
04-19-2010,0.0,0.0,2.0
04-20-2010,1.0,0.0,2.0
04-21-2010,0.0,0.0,3.0
04-22-2010,0.0,0.0,3.0
04-23-2010,1.0,0.0,2.0
04-26-2010,0.0,0.0,3.0
04-27-2010,1.0,0.0,2.0
04-28-2010,0.0,0.0,3.0
04-29-2010,1.0,0.0,2.0
04-30-2010,1.0,0.0,2.0
05-03-2010,1.0,0.0,2.0
05-04-2010,0.0,1.0,2.0
05-05-2010,1.0,0.0,2.0
05-06-2010,1.0,0.0,2.0
05-07-2010,2.0,0.0,1.0
05-10-2010,1.0,0.0,2.0
05-11-2010,0.0,0.0,3.0
05-12-2010,0.0,0.0,1.0
05-13-2010,0.0,0.0,3.0
05-14-2010,0.0,0.0,2.0
05-17-2010,1.0,1.0,1.0
05-18-2010,1.0,0.0,2.0
05-19-2010,0.0,1.0,2.0
05-20-2010,0.0,0.0,3.0
05-21-2010,1.0,0.0,2.0
05-24-2010,1.0,1.0,1.0
05-25-2010,1.0,0.0,2.0
05-26-2010,0.0,0.0,3.0
05-27-2010,1.0,0.0,2.0
05-28-2010,1.0,0.0,2.0
06-01-2010,2.0,0.0,1.0
06-02-2010,0.0,0.0,3.0
06-03-2010,0.0,0.0,3.0
06-04-2010,0.0,0.0,3.0
06-07-2010,0.0,0.0,3.0
06-08-2010,0.0,0.0,1.0
06-09-2010,1.0,0.0,2.0
06-10-2010,0.0,0.0,3.0
06-11-2010,2.0,0.0,1.0
06-14-2010,1.0,0.0,2.0
06-15-2010,2.0,0.0,1.0
06-16-2010,1.0,0.0,2.0
06-17-2010,3.0,0.0,0.0
06-18-2010,0.0,0.0,2.0
06-21-2010,0.0,0.0,3.0
06-22-2010,0.0,0.0,3.0
06-23-2010,1.0,0.0,2.0
06-24-2010,0.0,1.0,2.0
06-25-2010,1.0,1.0,0.0
06-28-2010,0.0,0.0,2.0
06-29-2010,0.0,0.0,3.0
06-30-2010,0.0,0.0,3.0
07-01-2010,1.0,0.0,2.0
07-02-2010,3.0,0.0,0.0
07-06-2010,2.0,0.0,2.0
07-07-2010,0.0,0.0,3.0
07-08-2010,0.0,0.0,3.0
07-09-2010,2.0,0.0,4.0
07-12-2010,1.0,0.0,2.0
07-13-2010,1.0,0.0,2.0
07-14-2010,0.0,0.0,3.0
07-15-2010,1.0,0.0,5.0
07-16-2010,2.0,0.0,2.0
07-19-2010,2.0,0.0,1.0
07-20-2010,0.0,0.0,3.0
07-21-2010,0.0,0.0,5.0
07-22-2010,0.0,0.0,3.0
07-23-2010,2.0,0.0,1.0
07-26-2010,1.0,0.0,2.0
07-27-2010,0.0,0.0,3.0
07-28-2010,2.0,0.0,1.0
07-29-2010,2.0,0.0,1.0
07-30-2010,1.0,0.0,2.0
08-02-2010,1.0,0.0,2.0
08-03-2010,1.0,0.0,2.0
08-04-2010,2.0,0.0,1.0
08-06-2010,0.0,1.0,2.0
08-09-2010,1.0,0.0,2.0
08-10-2010,3.0,0.0,1.0
08-11-2010,0.0,0.0,3.0
08-12-2010,1.0,0.0,2.0
08-13-2010,1.0,1.0,1.0
08-16-2010,0.0,0.0,3.0
08-17-2010,2.0,0.0,1.0
08-18-2010,0.0,0.0,1.0
08-19-2010,2.0,0.0,1.0
08-20-2010,0.0,1.0,2.0
08-23-2010,1.0,1.0,1.0
08-24-2010,1.0,1.0,1.0
