str_date,Negative,Neutral,Positive
02-24-2010,7.0,0.0,7.0
02-24-2011,2.0,4.0,8.0
02-25-2010,3.0,3.0,7.0
02-25-2011,5.0,2.0,7.0
02-26-2010,6.0,1.0,7.0
02-28-2011,3.0,1.0,10.0
03-01-2010,3.0,3.0,7.0
03-01-2011,5.0,0.0,9.0
03-02-2010,7.0,2.0,4.0
03-02-2011,5.0,1.0,8.0
03-03-2010,3.0,1.0,10.0
03-03-2011,6.0,2.0,6.0
03-04-2010,6.0,0.0,7.0
03-04-2011,3.0,1.0,10.0
03-05-2010,6.0,2.0,6.0
03-07-2011,7.0,1.0,5.0
03-08-2010,4.0,2.0,8.0
03-08-2011,9.0,0.0,5.0
03-09-2010,5.0,2.0,7.0
03-09-2011,7.0,0.0,7.0
03-10-2010,7.0,1.0,6.0
03-10-2011,7.0,0.0,6.0
03-11-2010,6.0,2.0,6.0
03-11-2011,2.0,1.0,11.0
03-12-2010,5.0,2.0,7.0
03-14-2011,7.0,1.0,6.0
03-15-2010,7.0,0.0,5.0
03-15-2011,1.0,4.0,9.0
03-16-2010,6.0,2.0,6.0
03-16-2011,2.0,3.0,9.0
03-17-2010,7.0,2.0,5.0
03-17-2011,6.0,2.0,6.0
03-18-2010,3.0,2.0,9.0
03-18-2011,6.0,0.0,7.0
03-19-2010,6.0,0.0,8.0
03-21-2011,6.0,1.0,7.0
03-22-2010,6.0,1.0,7.0
03-23-2010,4.0,2.0,8.0
03-23-2011,6.0,1.0,7.0
03-24-2010,7.0,2.0,5.0
03-24-2011,5.0,0.0,5.0
03-25-2010,4.0,0.0,10.0
03-25-2011,5.0,4.0,5.0
03-26-2010,6.0,1.0,7.0
03-28-2011,5.0,1.0,7.0
03-29-2010,9.0,1.0,4.0
03-29-2011,6.0,0.0,8.0
03-30-2010,4.0,3.0,7.0
03-30-2011,4.0,3.0,7.0
03-31-2010,3.0,0.0,10.0
03-31-2011,3.0,3.0,8.0
04-01-2010,1.0,3.0,9.0
04-01-2011,10.0,2.0,2.0
04-04-2011,8.0,2.0,4.0
04-05-2010,6.0,5.0,3.0
04-05-2011,2.0,0.0,9.0
04-06-2010,2.0,11.0,1.0
04-06-2011,9.0,0.0,5.0
04-07-2010,7.0,2.0,5.0
04-07-2011,2.0,1.0,11.0
04-08-2010,8.0,0.0,6.0
04-08-2011,5.0,0.0,8.0
04-09-2010,7.0,1.0,6.0
04-11-2011,6.0,0.0,8.0
04-12-2010,6.0,4.0,4.0
04-12-2011,4.0,1.0,9.0
04-13-2010,7.0,2.0,4.0
04-13-2011,6.0,2.0,5.0
04-14-2010,9.0,2.0,3.0
04-14-2011,6.0,3.0,5.0
04-15-2010,4.0,3.0,7.0
04-15-2011,8.0,2.0,4.0
04-16-2010,8.0,2.0,4.0
04-18-2011,6.0,3.0,5.0
04-19-2010,7.0,1.0,6.0
04-19-2011,6.0,1.0,7.0
04-20-2010,2.0,8.0,4.0
04-20-2011,4.0,0.0,6.0
04-21-2010,4.0,2.0,7.0
04-21-2011,7.0,2.0,5.0
04-22-2010,6.0,1.0,7.0
04-23-2010,7.0,2.0,5.0
04-25-2011,4.0,2.0,8.0
04-26-2010,1.0,7.0,6.0
04-26-2011,7.0,2.0,5.0
04-27-2010,7.0,2.0,4.0
04-27-2011,6.0,1.0,6.0
04-28-2010,7.0,1.0,6.0
04-28-2011,5.0,0.0,9.0
04-29-2010,5.0,1.0,8.0
04-29-2011,6.0,1.0,7.0
04-30-2010,6.0,2.0,6.0
05-02-2011,5.0,3.0,6.0
05-03-2010,7.0,4.0,3.0
05-03-2011,4.0,0.0,10.0
05-04-2010,0.0,10.0,4.0
05-04-2011,5.0,0.0,9.0
05-05-2010,1.0,1.0,7.0
05-05-2011,0.0,6.0,8.0
05-06-2010,0.0,14.0,0.0
05-06-2011,7.0,1.0,6.0
05-07-2010,7.0,0.0,7.0
